level,category,word,word_furigana,kana,romaji,pos,meaning_zh,example_furigana,example_zh
N5,數字與量詞,一,一[いち],いち,ichi,名,一；1,一[いち]から 十[じゅう]まで 数[かぞ]えます。,從一數到十。
N5,數字與量詞,二,二[に],に,ni,名,二；2,二[に]と 三[さん]を 足[た]します。,把二和三相加。
N5,數字與量詞,三,三[さん],さん,san,名,三；3,三[さん]は 好[す]きな 数字[すうじ]です。,三是我喜歡的數字。
N5,數字與量詞,四,四[よん],よん,yon,名,四；4,答[こた]えは 四[よん]です。,答案是四。
N5,數字與量詞,五,五[ご],ご,go,名,五；5,五[ご] 時[じ]に 起[お]きます。,五點起床。
N5,數字與量詞,六,六[ろく],ろく,roku,名,六；6,六[ろく] 人[にん]で 行[い]きます。,六個人一起去。
N5,數字與量詞,七,七[なな],なな,nana,名,七；7,七[なな]は 幸運[こううん]の 数[かず]です。,七是幸運的數字。
N5,數字與量詞,八,八[はち],はち,hachi,名,八；8,八[はち] 時[じ]に 会[あ]いましょう。,八點見面吧。
N5,數字與量詞,九,九[きゅう],きゅう,kyū,名,九；9,九[きゅう]から 一[いち]を 引[ひ]きます。,九減一。
N5,數字與量詞,十,十[じゅう],じゅう,jū,名,十；10,十[じゅう]まで 数[かぞ]えてください。,請數到十。
N5,數字與量詞,百,百[ひゃく],ひゃく,hyaku,名,百；100,これは 百[ひゃく] 円[えん]です。,這是一百日圓。
N5,數字與量詞,千,千[せん],せん,sen,名,千；1000,千[せん] 円[えん]を 払[はら]います。,付一千日圓。
N5,數字與量詞,万,万[まん],まん,man,名,萬；10000,この 本[ほん]は 一万[いちまん] 円[えん]です。,這本書一萬日圓。
N5,數字與量詞,ゼロ,ゼロ,ゼロ,zero,名,零；0,点数[てんすう]はゼロでした。,分數是零。
N5,數字與量詞,零,零[れい],れい,rei,名,零；0,気温[きおん]は 零[れい] 度[ど]です。,氣溫是零度。
N5,數字與量詞,一つ,一[ひと]つ,ひとつ,hitotsu,量,一個,りんごを 一[ひと]つください。,請給我一個蘋果。
N5,數字與量詞,二つ,二[ふた]つ,ふたつ,futatsu,量,兩個,みかんを 二[ふた]つ 買[か]いました。,買了兩個橘子。
